,y_valid,valid_predict
0,56.85,40.30880504502981
1,19.93,22.674715877007536
2,24.0,29.29838312679066
3,38.6,34.17393524470659
4,59.2,70.78748414421494
5,21.07,29.836624675266577
6,11.98,24.508746989805815
7,56.06,40.64030761581465
8,46.23,47.30607066820996
9,74.7,53.47169434079711
10,42.92,37.80124731778447
11,11.41,20.454927513927174
12,20.97,22.128325043030294
13,25.42,45.92781065512714
14,39.61,33.65341090244932
15,47.74,38.25098715991432
16,25.1,28.11201665094402
17,54.1,50.993439653412416
18,58.61,45.17783297507598
19,7.68,13.227021390340987
20,33.0,22.653104706607152
21,24.05,18.35021793578411
22,36.96,28.51246186343787
23,58.78,52.90525791276675
24,53.77,35.771279685768484
25,24.39,36.81191396189182
26,32.63,37.74318892938842
27,30.08,27.65883561281528
28,41.1,50.550800750680956
29,9.69,24.930211473262077
30,25.73,22.367976785465572
31,23.84,28.088629200029175
32,12.18,17.689856328923533
33,31.87,27.755519419678137
34,15.03,20.32925046726693
35,32.92,28.901571651749165
36,23.8,34.443839583837836
37,28.47,28.542478168124056
38,17.82,35.7723468343987
39,65.2,63.90219474948547
40,18.03,22.653240399823396
41,65.7,52.8408920406029
42,41.67,47.83548890674489
43,55.9,51.407478408615994
44,39.78,45.752535548136144
45,25.45,30.705707621497538
46,36.45,41.27245758616636
47,21.92,43.2929319782326
48,34.24,31.02607170004366
49,59.59,53.827225123504014
50,48.72,38.47679578056843
51,16.26,23.045027729354857
52,32.96,33.971057956806916
53,33.06,25.318600043233367
54,43.94,39.400311021516124
55,13.33,27.51699376867618
56,39.27,30.373712450997786
57,59.49,50.14327307302192
58,32.1,26.01730692227303
59,14.99,21.02800312193167
60,56.1,53.60432227067438
61,37.34,34.47583299559715
62,29.07,33.75204095952153
63,39.3,50.71856499463663
64,37.23,32.229784961032856
65,8.49,23.070339354134163
66,80.2,56.5701666599174
67,38.7,43.08204978122004
68,32.05,33.60539435307317
69,21.91,26.746557559190215
70,53.58,43.9874177759396
71,18.13,25.839579537628317
72,44.52,50.565962823784936
73,29.73,31.589885045478105
74,29.98,27.869420391282283
75,25.2,51.60133867329733
76,37.72,35.793160236678084
77,21.97,20.677933736741295
78,58.52,47.000309075299036
79,19.01,24.422716541793775
80,23.64,47.37677993095024
81,18.29,24.781553118513443
82,79.3,60.702895365976865
83,55.16,68.29017608532115
84,53.69,56.29019282230961
85,26.85,24.00889339822094
86,39.0,42.18916027249092
87,54.6,43.87963296260307
88,69.66,57.05681987280216
89,38.2,32.6728073666482
90,29.41,30.10639127107106
91,15.09,26.732759632273506
92,51.73,46.79625618765723
93,15.42,28.89102851353544
94,10.54,18.178630563714158
95,56.81,41.995480484768
96,27.77,28.067401356203085
97,36.35,40.34505959979392
98,25.18,22.956236981781053
99,37.17,31.898580491687497
100,11.17,14.96918536407648
101,48.7,36.83688087619917
102,15.53,24.604417716004257
103,22.75,48.21044439671498
104,41.54,34.40212578202482
105,53.72,37.23624934070502
106,28.94,23.253697615074103
107,39.6,31.03581976044267
108,53.3,48.324362145487264
109,15.75,25.00707635741945
110,32.72,41.591226375957845
111,11.58,20.702525815540156
112,15.36,31.917031490039115
113,26.2,24.56004286925306
114,20.87,19.519339879367145
115,37.44,31.592090563734324
116,40.23,28.115344421988276
117,59.76,48.646680720904236
118,20.77,20.53492776787737
119,23.4,22.87160515479976
120,38.46,37.40033739320371
121,72.3,58.3287418112648
122,37.92,48.79465608980623
123,64.3,60.02910435058511
124,47.4,35.96665481572486
125,71.3,53.731332647956215
126,64.3,60.02910435058511
127,49.2,54.606777792124596
128,52.2,54.81567820501862
129,32.33,36.64155366974405
130,13.62,25.300908214131397
131,39.7,29.51400769894493
132,51.96,39.06512713484514
133,15.87,25.60585955358107
134,24.07,29.268236324394103
135,8.06,22.60859993783496
136,34.4,50.75729307248729
137,17.17,20.89756641665864
138,38.02,50.71856499463663
139,70.7,76.21860643980443
140,37.81,41.669221992138596
141,40.06,29.612065746333933
142,31.42,25.55570564508487
143,31.97,26.200465175615328
144,68.1,61.33939453338966
145,40.6,60.129043642680394
146,40.15,35.24274038104395
147,13.09,25.857631720338198
148,32.85,40.420055313079125
149,38.77,35.66109656634938
150,33.04,39.039398105898634
151,32.07,27.81655643670704
152,52.42,39.885831698493114
153,38.7,33.80677963590082
