,y_train,train_predict
0,15.42,14.3675
1,27.53,33.76823529411764
2,33.4,33.2356
3,25.48,23.777500000000007
4,26.86,30.728749999999998
5,31.35,31.35
6,35.34,37.866250000000015
7,13.52,13.499375
8,40.15,37.866250000000015
9,58.8,61.70727272727272
10,67.31,65.18578947368421
11,10.03,13.098749999999999
12,19.42,19.42
13,43.25,44.38058823529411
14,33.08,38.16
15,43.57,44.52484848484849
16,42.62,42.097500000000004
17,50.51,50.51
18,26.86,30.728749999999998
19,2.33,9.288064516129031
20,49.25,33.2356
21,34.49,33.76823529411764
22,13.46,14.3675
23,66.1,60.65875
24,30.57,33.76823529411764
25,40.68,33.76823529411764
26,12.46,12.32
27,3.32,9.288064516129031
28,37.43,37.40428571428572
29,21.16,21.544444444444444
30,17.96,17.96
31,7.51,9.288064516129031
32,52.91,49.93416666666666
33,36.8,33.76823529411764
34,6.81,9.288064516129031
35,62.94,65.18578947368421
36,43.7,42.097500000000004
37,39.36,40.800000000000004
38,79.4,81.0
39,39.66,40.800000000000004
40,26.14,25.114333333333335
41,26.23,25.114333333333335
42,24.66,23.777500000000007
43,40.93,52.4575
44,24.58,30.887
45,39.42,44.52484848484849
46,63.14,52.4575
47,52.2,52.4575
48,24.99,23.777500000000007
49,37.8,37.8
50,44.21,33.76823529411764
51,43.38,40.800000000000004
52,10.79,9.288064516129031
53,19.35,17.49857142857143
54,29.79,33.76823529411764
55,54.38,49.93416666666666
56,48.15,39.712222222222216
57,37.42,38.16
58,25.61,25.356666666666666
59,55.06,49.93416666666666
60,17.37,16.342
61,30.12,33.76823529411764
62,21.02,21.4
63,77.3,77.96666666666665
64,71.3,71.3
65,61.99,52.4575
66,60.95,53.73199999999999
67,16.5,25.114333333333335
68,29.55,29.55
69,19.69,18.24333333333333
70,42.03,37.866250000000015
71,57.23,65.18578947368421
72,61.09,61.09
73,15.58,17.765333333333334
74,59.0,65.18578947368421
75,45.08,37.866250000000015
76,28.63,33.2356
77,7.32,13.098749999999999
78,42.14,44.52484848484849
79,43.58,44.52484848484849
80,39.94,37.866250000000015
81,22.5,23.2475
82,41.94,44.52484848484849
83,31.38,44.52484848484849
84,29.75,29.75
85,27.92,23.777500000000007
86,17.54,18.24333333333333
87,31.27,39.712222222222216
88,25.56,25.114333333333335
89,59.09,59.09
90,71.99,65.18578947368421
91,33.49,34.5525
92,47.71,46.40166666666667
93,36.44,34.01333333333333
94,33.94,47.15833333333333
95,32.4,33.2356
96,61.8,61.70727272727272
97,61.46,53.673124999999985
98,40.87,33.76823529411764
99,46.68,53.673124999999985
100,23.79,25.114333333333335
101,18.28,25.114333333333335
102,24.5,24.27333333333333
103,31.45,33.76823529411764
104,11.39,9.288064516129031
105,18.03,33.76823529411764
106,33.76,37.36571428571428
107,61.89,65.18578947368421
108,45.71,33.2356
109,44.64,37.866250000000015
110,39.3,39.3
111,44.21,44.455
112,74.36,65.18578947368421
113,28.63,33.76823529411764
114,12.64,12.64
