,y_test,test_predict
0,42.55,32.93221938773831
1,8.37,13.949661669914306
2,55.45,49.695737831112886
3,77.3,56.829804967076505
4,8.0,20.4451591301968
5,39.46,36.66276560675942
6,59.89,51.846635143597815
7,29.59,33.291323427441306
8,40.29,49.06231024737698
9,30.65,37.13238998639037
10,60.32,41.50561309720798
11,12.25,15.029786360513349
12,21.91,33.20016167365317
13,24.44,40.75819554187982
14,19.69,18.729100039423344
15,24.28,19.15640392993525
16,23.51,29.30132265134816
17,24.54,24.34073933662731
18,37.96,32.52754311841951
19,37.92,35.99205377258144
20,11.36,17.054782223876515
21,25.75,28.18148595967842
22,24.45,21.9197827980517
23,50.08,43.34252163276986
24,4.57,12.78438248760952
25,8.54,17.14936910043611
26,12.47,22.919417511211186
27,42.13,64.90246270368053
28,60.29,56.93063203146482
29,23.08,29.906314224576512
30,56.14,56.14089155309714
31,42.7,32.26319963538117
32,23.89,39.58788986162415
33,28.99,33.855542537496966
34,23.52,26.217158551993897
35,56.74,43.93415506489131
36,9.74,18.808631867974604
37,30.96,19.20823688705883
38,48.59,35.67378017872409
39,13.71,16.405245800083122
40,41.68,35.60086185554236
41,34.68,30.212760353609667
42,20.42,26.378203962589218
43,23.52,35.640647636016006
44,9.45,25.775985026052368
45,25.08,52.71807894200385
46,39.7,45.616786217572816
47,21.75,20.147366997792602
48,33.69,52.2596145125975
49,15.04,25.231800627677444
50,42.33,25.858768259521078
51,71.3,53.731332647956215
52,21.6,26.51816519664294
53,30.12,30.188002256500184
54,23.69,26.92643576874361
55,9.01,26.048498456312537
56,35.3,50.964839505884534
57,77.3,56.829804967076505
58,12.73,17.195485640026924
59,28.6,52.04918506294694
60,60.2,61.40885363331284
61,14.84,20.684253286055252
62,66.78,53.241745392142214
63,27.68,34.88434761133125
64,36.25,44.47911391661113
65,15.69,28.577082831116748
66,33.56,35.56936717861261
67,41.54,34.28155530120305
68,17.24,21.302230633736798
69,16.11,34.10693765909589
70,34.9,48.308575381140834
71,69.84,51.05869104275461
72,42.64,31.34268337728784
73,71.3,53.731332647956215
74,25.18,22.084163927437515
75,79.3,60.702895365976865
76,18.02,32.95667826219505
77,54.28,46.43931009630128
78,12.46,18.12046105351736
79,39.23,45.2890832431253
80,7.72,12.06551132971812
81,32.72,28.16343377696854
82,32.82,27.245113820762597
83,61.07,56.14089155309714
84,46.64,38.473493702723694
85,53.46,37.12645255472184
86,12.84,13.724253260315436
87,44.42,53.04241923397685
88,48.79,37.31809094509479
89,26.77,27.61549115670074
90,22.35,18.511045543531154
91,38.89,61.744506837496836
92,25.57,20.95565344436926
93,47.1,52.4918239656784
94,26.31,28.28451090905788
95,79.3,60.702895365976865
96,31.03,23.133391005338687
97,51.26,37.939031906121734
98,41.05,40.04256750645558
99,13.18,25.348851279916587
100,27.94,35.09821489306317
101,14.14,34.2522368281936
102,41.2,34.12079446655118
103,43.8,39.88742188424984
104,23.84,28.090106408216243
105,79.99,52.537053507584666
106,51.43,38.855818650512866
107,33.05,36.049056218663885
108,59.3,43.72484658055903
109,53.52,39.57551205223128
110,19.52,27.922139003416447
111,11.47,16.252983833081167
112,39.32,35.5156130194439
113,68.3,55.23026949214451
114,44.09,41.51052247006724
115,25.12,47.37677993095024
116,26.4,27.998293769749132
117,23.52,26.22410086050367
118,61.92,62.86463322422481
119,24.48,23.92526787207698
120,64.02,46.59908224131083
121,44.87,28.523739375531648
122,26.26,25.33498137347506
123,44.3,60.350005424054
124,13.54,27.067253926546336
125,20.08,22.376031712516834
126,40.86,32.30823958579376
127,29.65,27.766846819067
128,39.42,39.046389301820874
129,45.9,48.53195820423141
130,10.38,19.8519804145036
131,24.34,28.0544606716784
132,66.42,46.37464102725415
133,14.8,20.32707661451998
134,64.3,60.02910435058511
135,29.23,21.250268561396112
136,69.3,72.34551604090407
137,53.39,52.64876267452795
138,33.4,54.164138889393136
139,56.14,58.32766743274966
140,68.5,53.31729389275264
141,24.9,25.685910653282875
142,43.89,39.57840710396351
143,67.8,55.719725542498175
144,66.9,69.24704372178377
145,29.89,21.648347139928205
146,41.89,35.03382433259445
147,18.0,25.39264839394503
148,52.44,42.366581847554606
149,37.27,35.45000581648381
150,23.85,28.96594038729603
151,51.86,42.46176484788014
152,9.62,27.512770435926356
153,50.77,31.257613855137002
154,26.94,23.130377255539926
