,0
0,22.8577823638916
1,28.438146591186523
2,36.58096694946289
3,19.466527938842773
4,30.59195899963379
5,30.287185668945312
6,38.43745422363281
7,16.691755294799805
8,43.71242904663086
9,66.75434112548828
10,63.019775390625
11,15.589317321777344
12,23.184110641479492
13,38.956302642822266
14,41.623565673828125
15,41.6236572265625
16,50.44300842285156
17,43.75927734375
18,30.603940963745117
19,6.7150163650512695
20,37.318634033203125
21,35.039573669433594
22,13.44809627532959
23,64.497802734375
24,33.76285934448242
25,41.189178466796875
26,12.763481140136719
27,6.80501651763916
28,36.948368072509766
29,21.112226486206055
30,18.501115798950195
31,12.456933975219727
32,54.895843505859375
33,40.881248474121094
34,11.000024795532227
35,63.948265075683594
36,49.555931091308594
37,41.45345687866211
38,77.55288696289062
39,38.584415435791016
40,29.781719207763672
41,29.957340240478516
42,24.997034072875977
43,47.733360290527344
44,28.206544876098633
45,44.401824951171875
46,53.80057907104492
47,44.629798889160156
48,26.509626388549805
49,42.647308349609375
50,43.623626708984375
51,41.801387786865234
52,11.901152610778809
53,17.81184196472168
54,31.617807388305664
55,54.457435607910156
56,48.84326934814453
57,39.52941131591797
58,34.123924255371094
59,52.473140716552734
60,26.99645233154297
61,35.25050735473633
62,28.20372200012207
63,69.665283203125
64,64.17830657958984
65,59.441200256347656
66,53.47595977783203
67,22.709218978881836
68,35.526649475097656
69,25.854951858520508
70,49.75328826904297
71,61.75464630126953
72,64.16964721679688
73,18.959680557250977
74,57.89038848876953
75,44.557899475097656
76,35.40906524658203
77,14.75786304473877
78,45.73008728027344
79,41.77320098876953
80,43.97406005859375
81,25.328882217407227
82,44.43855285644531
83,43.19410705566406
84,25.25630760192871
85,28.935285568237305
86,24.73005485534668
87,31.247236251831055
88,31.18891143798828
89,52.44873809814453
90,67.14891815185547
91,37.5442008972168
92,40.22004699707031
93,23.046506881713867
94,47.292232513427734
95,37.51898956298828
96,66.27080535888672
97,59.641822814941406
98,45.99827575683594
99,53.396976470947266
100,27.062578201293945
101,22.670860290527344
102,29.0396671295166
103,31.648435592651367
104,12.312050819396973
105,20.8591251373291
106,37.75690460205078
107,68.6719741821289
108,41.15690994262695
109,42.88676452636719
110,44.33367156982422
111,43.85736083984375
112,65.00270080566406
113,31.89157485961914
114,29.845216751098633
115,24.83670997619629
116,27.07564353942871
117,39.14373779296875
118,31.982431411743164
119,36.492618560791016
120,22.414701461791992
121,19.643835067749023
122,33.51533508300781
123,19.612377166748047
124,27.466012954711914
125,43.02922058105469
126,36.88127517700195
127,36.63495635986328
128,30.414262771606445
129,73.08479309082031
130,16.426122665405273
131,38.354400634765625
132,58.01258850097656
133,34.98157501220703
134,45.177207946777344
135,9.886563301086426
136,34.92681121826172
137,50.57783508300781
138,22.144514083862305
139,35.31865310668945
140,26.952289581298828
141,32.7071418762207
142,32.34131622314453
143,39.38939666748047
144,52.172515869140625
145,41.31183624267578
146,61.70619201660156
147,32.476234436035156
148,46.76092529296875
149,46.621803283691406
150,47.45940017700195
151,48.888153076171875
152,36.55675506591797
153,23.478078842163086
154,51.47445297241211
155,34.90460205078125
156,35.417388916015625
157,24.53563690185547
158,48.96223068237305
159,50.39765167236328
160,41.06881332397461
161,13.572380065917969
162,68.35627746582031
163,33.917884826660156
164,35.867794036865234
165,54.51605987548828
166,30.48661231994629
167,46.63969421386719
168,43.072059631347656
169,40.5676155090332
170,20.923641204833984
171,15.633012771606445
172,43.56214141845703
173,18.080774307250977
174,49.975250244140625
175,33.927772521972656
176,52.35072326660156
177,62.9847412109375
178,62.7685546875
179,34.22065734863281
180,23.315996170043945
181,59.691680908203125
182,34.43236541748047
183,24.03632164001465
184,38.980960845947266
185,30.003284454345703
186,26.049766540527344
187,24.651697158813477
188,24.54594612121582
189,34.39466094970703
190,35.10717010498047
191,30.842960357666016
192,47.39122009277344
193,25.09016990661621
194,35.04888916015625
195,36.71345901489258
196,32.45832061767578
197,29.788211822509766
198,22.450775146484375
199,28.83127784729004
200,47.01383590698242
201,26.596271514892578
202,24.21639060974121
203,55.29448699951172
204,32.49888610839844
205,44.59877395629883
206,72.7589111328125
207,46.40769958496094
208,49.30668258666992
209,20.2549991607666
210,43.54633712768555
211,55.85492706298828
212,59.89093017578125
213,45.00611114501953
214,26.27577018737793
