,y_test,test_predict
0,42.55,37.23916016630047
1,8.37,29.709034234961244
2,55.45,43.437934190212054
3,77.3,77.20015744191444
4,8.0,35.98997720779546
5,39.46,39.22824346647935
6,59.89,35.98997720779546
7,29.59,35.98983985472068
8,40.29,35.22683875532028
9,30.65,35.98997720779546
10,60.32,35.98997720779546
11,12.25,35.98997720779546
12,21.91,35.98998221053953
13,24.44,35.98997720779546
14,19.69,19.79018587901837
15,24.28,35.98997720779546
16,23.51,35.9898188039871
17,24.54,35.989977166070084
18,37.96,35.98997720779546
19,37.92,37.75639203548319
20,11.36,35.98989587350418
21,25.75,35.98997720779546
22,24.45,35.98997717397093
23,50.08,35.989991013188686
24,4.57,35.98997720779546
25,8.54,9.607166552667032
26,12.47,35.98989398067683
27,42.13,35.98997720779546
28,60.29,60.190182852345586
29,23.08,35.98996119777373
30,56.14,55.149902563006506
31,42.7,35.98997720779546
32,23.89,35.98997720779546
33,28.99,29.478859242348392
34,23.52,35.98997720779546
35,56.74,35.98997720779546
36,9.74,10.63813079620832
37,30.96,35.98997720779546
38,48.59,35.98997720800381
39,13.71,14.318813075757976
40,41.68,35.98997720779546
41,34.68,35.98997720779546
42,20.42,31.483688446546626
43,23.52,35.99001128699258
44,9.45,35.989738869438234
45,25.08,35.98997720779546
46,39.7,35.98997720779546
47,21.75,35.98997708331174
48,33.69,38.07982629852008
49,15.04,35.98989395831927
50,42.33,35.98997720779546
51,71.3,71.19997853416734
52,21.6,35.98997720779532
53,30.12,30.468343465958853
54,23.69,24.7711391800321
55,9.01,35.98928416594048
56,35.3,35.400089972827416
57,77.3,77.20015744191444
58,12.73,35.98997720779546
59,28.6,35.98997720779546
60,60.2,35.98997720779546
61,14.84,22.342373834714806
62,66.78,68.65009581377637
63,27.68,28.0705150402553
64,36.25,35.98997720779546
65,15.69,35.98997720779546
66,33.56,35.98999916683745
67,41.54,35.98997720779546
68,17.24,31.136396012904758
69,16.11,33.49253313803219
70,34.9,34.41724573741682
71,69.84,35.98997720779546
72,42.64,42.39751488061758
73,71.3,71.19997853416734
74,25.18,35.98997720779546
75,79.3,79.20018285234559
76,18.02,35.98997720779546
77,54.28,35.99784548538663
78,12.46,13.546338824121118
79,39.23,35.98997720779546
80,7.72,29.214354788491036
81,32.72,35.98969585279224
82,32.82,35.98997720779546
83,61.07,55.149902563006506
84,46.64,35.98997720779546
85,53.46,35.98997720779546
86,12.84,35.84676187246433
87,44.42,51.12019423523405
88,48.79,35.98997720779546
89,26.77,35.98986350935413
90,22.35,35.98997720779546
91,38.89,35.98997720779546
92,25.57,35.98997720779546
93,47.1,35.98997720779546
94,26.31,34.40862617521499
95,79.3,79.20018285234559
96,31.03,35.98997720779546
97,51.26,35.98997720779546
98,41.05,40.736711589607786
99,13.18,35.989934826443935
100,27.94,35.98997720779546
101,14.14,33.97106192082267
102,41.2,37.31992553562902
103,43.8,41.43306512686968
104,23.84,35.98997720779546
105,79.99,35.98997721216058
106,51.43,35.98997720779546
107,33.05,35.98997720779546
108,59.3,35.99026437347485
109,53.52,52.686560542632996
110,19.52,35.98988703436534
111,11.47,13.434396089879773
112,39.32,35.98997720779546
113,68.3,35.98997720779546
114,44.09,39.127473630642285
115,25.12,35.98997720779546
116,26.4,35.98997678310511
117,23.52,35.98997720779546
118,61.92,35.98997720779546
119,24.48,35.98997718281461
120,64.02,35.98997720779546
121,44.87,44.332501415306496
122,26.26,35.98997720779546
123,44.3,35.98997720779546
124,13.54,35.989968416253525
125,20.08,27.865661762883157
126,40.86,35.660827182584725
127,29.65,32.87442871914649
128,39.42,39.036639045824174
129,45.9,36.80243473679351
130,10.38,35.98990076427122
131,24.34,35.98997720779546
132,66.42,35.98997720779546
133,14.8,35.989977207795235
134,64.3,35.98997720779546
135,29.23,35.98997720779546
136,69.3,35.98997720779546
137,53.39,48.76758019763034
138,33.4,33.50008406473977
139,56.14,35.98997720779546
140,68.5,35.98997720779546
141,24.9,35.989977161763846
142,43.89,35.98997720779546
143,67.8,35.98997720779546
144,66.9,35.98997720779546
145,29.89,35.98997720779546
146,41.89,35.989906362865774
147,18.0,35.98994551971607
148,52.44,50.808022948223275
149,37.27,35.990005615216894
150,23.85,35.98997720779546
151,51.86,35.98997720779546
152,9.62,35.98997720779546
153,50.77,46.92037332909614
154,26.94,35.98997720779546
